ts_utc	model_alias	ctx_size	task	status	duration_s	prompt_chars	completion_chars	prompt_tokens	completion_tokens	total_tokens	port	gpu_layers	mem_limit	json_path	log_path	notes
2026-04-23T23:04:02Z	qwen36_27b_q4km	16384	coding_api	ok	58	29134	1724	6413	384	6797	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx16384_coding_api.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx16384_coding_api.log	completed
2026-04-23T23:05:01Z	qwen36_27b_q4km	16384	coding_review	ok	58	29098	1444	6406	384	6790	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx16384_coding_review.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx16384_coding_review.log	completed
2026-04-23T23:05:56Z	qwen36_27b_q4km	16384	summary_report	ok	55	29049	1614	6402	350	6752	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx16384_summary_report.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx16384_summary_report.log	completed
2026-04-23T23:06:41Z	qwen36_27b_q4km	16384	summary_plan	ok	44	29112	933	6413	212	6625	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx16384_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx16384_summary_plan.log	completed
2026-04-23T23:09:14Z	qwen36_27b_q4km	32768	coding_api	ok	87	57970	1819	12750	384	13134	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx32768_coding_api.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx32768_coding_api.log	completed
2026-04-23T23:10:43Z	qwen36_27b_q4km	32768	coding_review	ok	89	57934	1487	12743	384	13127	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx32768_coding_review.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx32768_coding_review.log	completed
2026-04-23T23:12:09Z	qwen36_27b_q4km	32768	summary_report	ok	86	57885	1686	12739	349	13088	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx32768_summary_report.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx32768_summary_report.log	completed
2026-04-23T23:13:24Z	qwen36_27b_q4km	32768	summary_plan	ok	75	57948	1042	12750	230	12980	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx32768_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx32768_summary_plan.log	completed
2026-04-23T23:16:24Z	qwen36_27b_q4km	46080	coding_api	ok	114	81399	1681	17906	384	18290	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx46080_coding_api.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx46080_coding_api.log	completed
2026-04-23T23:18:19Z	qwen36_27b_q4km	46080	coding_review	ok	115	81363	1514	17899	384	18283	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx46080_coding_review.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx46080_coding_review.log	completed
2026-04-23T23:20:10Z	qwen36_27b_q4km	46080	summary_report	ok	111	81314	1563	17895	323	18218	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx46080_summary_report.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx46080_summary_report.log	completed
2026-04-23T23:21:52Z	qwen36_27b_q4km	46080	summary_plan	ok	102	81377	999	17906	225	18131	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx46080_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx46080_summary_plan.log	completed
2026-04-23T23:25:38Z	qwen36_27b_q4km	65536	coding_api	ok	160	115642	1768	25432	384	25816	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx65536_coding_api.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx65536_coding_api.log	completed
2026-04-23T23:28:21Z	qwen36_27b_q4km	65536	coding_review	ok	163	115606	1450	25425	384	25809	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx65536_coding_review.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx65536_coding_review.log	completed
2026-04-23T23:31:00Z	qwen36_27b_q4km	65536	summary_report	ok	159	115557	1555	25421	329	25750	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx65536_summary_report.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx65536_summary_report.log	completed
2026-04-23T23:33:26Z	qwen36_27b_q4km	65536	summary_plan	ok	146	115620	868	25432	193	25625	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx65536_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx65536_summary_plan.log	completed
2026-04-23T23:38:15Z	qwen36_27b_q4km	76800	coding_api	ok	191	135467	1637	29791	384	30175	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx76800_coding_api.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx76800_coding_api.log	completed
2026-04-23T23:41:29Z	qwen36_27b_q4km	76800	coding_review	ok	194	135431	1578	29784	384	30168	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx76800_coding_review.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx76800_coding_review.log	completed
2026-04-23T23:44:43Z	qwen36_27b_q4km	76800	summary_report	ok	193	135382	1786	29780	359	30139	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx76800_summary_report.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx76800_summary_report.log	completed
2026-04-23T23:47:38Z	qwen36_27b_q4km	76800	summary_plan	ok	175	135445	714	29791	165	29956	8162	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen36_27b_q4km_ctx76800_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen36_27b_q4km_ctx76800_summary_plan.log	completed
2026-04-23T23:56:41Z	qwen35_9b_q8	16384	coding_api	ok	24	29134	1627	6413	384	6797	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx16384_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx16384_coding_api.log	completed
2026-04-23T23:57:06Z	qwen35_9b_q8	16384	coding_review	ok	25	29098	1490	6406	384	6790	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx16384_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx16384_coding_review.log	completed
2026-04-23T23:57:26Z	qwen35_9b_q8	16384	summary_report	ok	20	29049	1419	6402	285	6687	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx16384_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx16384_summary_report.log	completed
2026-04-23T23:57:44Z	qwen35_9b_q8	16384	summary_plan	ok	18	29112	1005	6413	230	6643	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx16384_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx16384_summary_plan.log	completed
2026-04-23T23:59:24Z	qwen35_9b_q8	32768	coding_api	ok	34	57970	1664	12750	384	13134	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx32768_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx32768_coding_api.log	completed
2026-04-23T23:59:58Z	qwen35_9b_q8	32768	coding_review	ok	34	57934	1523	12743	384	13127	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx32768_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx32768_coding_review.log	completed
2026-04-24T00:00:28Z	qwen35_9b_q8	32768	summary_report	ok	30	57885	1521	12739	291	13030	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx32768_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx32768_summary_report.log	completed
2026-04-24T00:00:54Z	qwen35_9b_q8	32768	summary_plan	ok	26	57948	880	12750	198	12948	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx32768_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx32768_summary_plan.log	completed
2026-04-24T00:02:42Z	qwen35_9b_q8	46080	coding_api	ok	42	81399	1642	17906	384	18290	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx46080_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx46080_coding_api.log	completed
2026-04-24T00:03:25Z	qwen35_9b_q8	46080	coding_review	ok	43	81363	1323	17899	384	18283	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx46080_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx46080_coding_review.log	completed
2026-04-24T00:04:06Z	qwen35_9b_q8	46080	summary_report	ok	40	81314	1723	17895	343	18238	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx46080_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx46080_summary_report.log	completed
2026-04-24T00:04:43Z	qwen35_9b_q8	46080	summary_plan	ok	37	81377	1301	17906	280	18186	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx46080_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx46080_summary_plan.log	completed
2026-04-24T00:06:45Z	qwen35_9b_q8	65536	coding_api	ok	55	115642	1597	25432	384	25816	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx65536_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx65536_coding_api.log	completed
2026-04-24T00:07:42Z	qwen35_9b_q8	65536	coding_review	ok	57	115606	1550	25425	384	25809	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx65536_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx65536_coding_review.log	completed
2026-04-24T00:08:36Z	qwen35_9b_q8	65536	summary_report	ok	54	115557	1682	25421	315	25736	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx65536_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx65536_summary_report.log	completed
2026-04-24T00:09:24Z	qwen35_9b_q8	65536	summary_plan	ok	47	115620	853	25432	188	25620	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx65536_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx65536_summary_plan.log	completed
